"	Email",Address,Avatar,Time on App,Time on Website,Length of Membership,Yearly Amount Spent,City,State,ZIP Code,Address Type,avgtime,Estimated total spending
parkerkayla@miles.com,"170 Andrew MewsNorth Susan, NM 85338-2426",DarkSlateBlue,10.72,38.31,2.65,426.78,Andrew MewsNorth Susan,NM,85338-2426,Standard,24.515,1130.967
alicia85@lee.com,"14220 Carla Flat Suite 521Lake Matthew, DE 06183",DimGray,12.39,37.43,6.4,684.16,Lake Matthew,DE,6183,Standard,24.91,4378.624
dominguezjacob@hotmail.com,"8594 Erica Manors Apt. 529Lake Miguel, MH 10652-9266",CornflowerBlue,10.98,37.4,5.39,555.89,Lake Miguel,MH,10652-9266,Standard,24.19,2996.2471
ebrown@osborne.com,"4291 Nichols Fork Apt. 562Thomaschester, SC 08938-8769",DarkSlateGray,12.97,36.97,6.08,657.02,Thomaschester,SC,08938-8769,Standard,24.97,3994.6816
nathan86@hotmail.com,"748 Michael PlazaWest Billyside, UT 20799",MidnightBlue,12.05,36.96,3.86,595.8,Michael PlazaWest Billyside,UT,20799,Standard,24.505,2299.788
aaron11@luna.com,"672 Jesus Roads Apt. 443Thompsonland, WY 69228",LightSkyBlue,13.46,37.24,2.94,503.98,Thompsonland,WY,69228,Standard,25.35,1481.7012
fsnow@ellis.com,"0272 Jones WayLake Angela, MP 97003-5793",MediumBlue,12.44,37.33,5.08,586.16,Jones WayLake Angela,MP,97003-5793,Standard,24.885,2977.6928
asilva@yahoo.com,USNV JohnsonFPO AP 19026,Wheat,12.21,33.91,6.92,744.22,Classified,,,Military,23.06,5150.0024
casey21@johnson.com,"691 Johnson Field Apt. 510Michaelville, VI 78140",SpringGreen,11.59,39.09,3.6,512.83,Michaelville,VI,78140,Standard,25.34,1846.188
campbellross@yahoo.com,"6218 Michael Station Apt. 982Salazarburgh, NJ 79955",DarkRed,11.38,38.3,3.78,528.22,Salazarburgh,NJ,79955,Standard,24.84,1996.6716
blevinseric@stephens.com,"PSC 3676, Box 1549APO AE 26130-7683",Orange,12.36,38.04,3.31,468.91,Classified,,,Military,25.2,1552.0921
stevenking@patterson.com,"94730 Martin MountNew Matthew, VI 08142-6708",LightGray,12.4,35.01,0.97,357.59,Martin MountNew Matthew,VI,08142-6708,Standard,23.705,346.8623
samuel94@hotmail.com,"5480 Vazquez Crossing Suite 825East Christopherland, PA 42104",DarkViolet,12.54,38.31,3.77,536.42,East Christopherland,PA,42104,Standard,25.425,2022.3034
johnsonpaul@keller-woodard.org,USCGC DodsonFPO AA 87781-3935,LimeGreen,13.28,36.94,3.59,490.21,Classified,,,Military,25.11,1759.8539
twilliams@gibbs.net,Unit 6678 Box 6628DPO AP 44369,CadetBlue,11.8,37.66,4.52,550.05,Classified,,,Military,24.73,2486.226
teresapacheco@salinas.biz,"75805 Larry MillsEast Cristian, MH 53820",DarkMagenta,12.72,37.66,3.68,513.45,Larry MillsEast Cristian,MH,53820,Standard,25.19,1889.496
allison80@carson-hansen.com,"04311 Oconnor Park Apt. 415Kelleystad, ND 63064-8935",ForestGreen,12.04,38.92,2.87,497.81,Kelleystad,ND,63064-8935,Standard,25.48,1428.7147
turnerryan@hotmail.com,"770 Lewis Pike Apt. 869Phelpsport, PA 93969-4887",LightSkyBlue,12.47,35.04,4.06,578.99,Phelpsport,PA,93969-4887,Standard,23.755,2350.6994
walkererica@scott.com,"86536 Barnes TrackSouth Kyle, MT 21570-5606",MediumAquaMarine,13.16,36.41,3.02,506.54,Barnes TrackSouth Kyle,MT,21570-5606,Standard,24.785,1529.7508
mark94@yahoo.com,"586 Timothy Union Suite 592East Joseph, MO 81374",Salmon,11.05,37.63,4.72,501.75,East Joseph,MO,81374,Standard,24.34,2368.26
daniellecuevas@hotmail.com,"9287 Daniel Rest Apt. 608Allentown, SD 73050",LavenderBlush,10.64,37.58,2.93,421.97,Allentown,SD,73050,Standard,24.11,1236.3721
gbarnes@gmail.com,"8667 Suzanne Motorway Suite 241Spencechester, KY 74385-4618",Green,13.44,36.88,2.36,439.89,Spencechester,KY,74385-4618,Standard,25.16,1038.1404
cody68@hotmail.com,"374 Dana JunctionsLangside, WI 36474",SpringGreen,13.28,35.91,4.97,666.13,Dana JunctionsLangside,WI,36474,Standard,24.595,3310.6661
fischermonica@gmail.com,"9847 Michael Plaza Suite 837Lake Christophershire, NV 87324-8427",Navy,11.75,36.94,0.8,298.76,Lake Christophershire,NV,87324-8427,Standard,24.345,239.008
brenda25@gmail.com,"353 Jones Loaf Apt. 767South Michaelburgh, PR 16281-4840",OliveDrab,10.86,38.84,3.67,465.18,South Michaelburgh,PR,16281-4840,Standard,24.85,1707.2106
david58@yahoo.com,"6058 Thomas DivideMatthewland, PA 89442-8198",LightSalmon,11.69,37.48,1.72,373.89,Thomas DivideMatthewland,PA,89442-8198,Standard,24.585,643.0908
clifford76@johnson.com,"8032 Hodge Circle Apt. 255Lake Jessicashire, OR 54914",RosyBrown,11.55,38.58,4.77,532.72,Lake Jessicashire,OR,54914,Standard,25.065,2541.0744
jacquelinehughes@bennett-branch.info,"601 Ashley Loop Suite 162Port Benjaminview, DE 02456",DeepPink,11.72,36.81,4.09,554.9,Port Benjaminview,DE,2456,Standard,24.265,2269.541
victoria53@hotmail.com,"16329 Sara Neck Apt. 463Bryanside, TX 62329",Pink,12.18,35.67,4.13,537.77,Bryanside,TX,62329,Standard,23.925,2220.9901
cunninghamkyle@ellis-parker.org,"449 Williamson Lakes Apt. 118Travisville, AK 06848-0177",LightGreen,12.32,37.82,3.44,501.1,Travisville,AK,06848-0177,Standard,25.07,1723.784
jjones@yahoo.com,"047 Carla LocksCoreymouth, AR 98066",GreenYellow,11.08,37.96,4.72,517.17,Carla LocksCoreymouth,AR,98066,Standard,24.52,2441.0424
michaelferguson@torres-miles.net,"757 Amber Gateway Apt. 787New Stephaniechester, OR 61576-6056",Sienna,13.18,38.86,3.23,557.53,New Stephaniechester,OR,61576-6056,Standard,26.02,1800.8219
crawforderik@price.org,"5183 Michael RampEast Lukeburgh, FL 93972",DarkKhaki,12.83,37.68,2.97,493.72,Michael RampEast Lukeburgh,FL,93972,Standard,25.255,1466.3484
jlawson@mccarthy.com,"0127 Morgan Fields Apt. 080Thompsonfurt, ME 01160-7043",LightGray,11.51,37.25,3.18,452.12,Thompsonfurt,ME,01160-7043,Standard,24.38,1437.7416
marshchristopher@zimmerman-villegas.com,"667 Stephanie Lake Apt. 658Marthashire, NC 11815-2307",DarkRed,11.86,36.09,4.81,577.27,Marthashire,NC,11815-2307,Standard,23.975,2776.6687
oolson@collins.com,"07867 Horn LakeWest Teresatown, VT 64387-1228",Aqua,12.29,37.06,3.62,485.92,Horn LakeWest Teresatown,VT,64387-1228,Standard,24.675,1759.0304
isaiahcampbell@yahoo.com,"55414 Ramirez Union Apt. 614West Crystal, CA 03845-2631",Red,10.93,36.55,3.26,425.75,West Crystal,CA,03845-2631,Standard,23.74,1387.945
kcannon@alvarez-cline.info,"55479 Peters Field Apt. 702North Micheleberg, PR 45063",Lavender,13.33,37.96,3.6,537.22,North Micheleberg,PR,45063,Standard,25.645,1933.992
nielsencarmen@harrell.net,"2491 Yates Crest Suite 316Connieville, FL 92080-0819",DeepPink,10.9,36.09,4.79,524.64,Connieville,FL,92080-0819,Standard,23.495,2513.0256
efreeman@moore.com,"223 Powell RidgesEast Richardtown, RI 90715-2178",White,12.28,38.23,3.32,478.89,Powell RidgesEast Richardtown,RI,90715-2178,Standard,25.255,1589.9148
roblessarah@hotmail.com,"022 Taylor Mews Suite 692Hallberg, NJ 53614",MediumSeaGreen,12.04,37.64,4.63,612.39,Hallberg,NJ,53614,Standard,24.84,2835.3657
christopherhaas@gmail.com,"56674 Melanie FlatsSchneiderberg, IN 66532",MediumPurple,11.72,37.15,3.31,476.77,Melanie FlatsSchneiderberg,IN,66532,Standard,24.435,1578.1087
ethomas@yahoo.com,"1279 Douglas MountainsPort Christopherberg, RI 32811-8325",LightGreen,11.2,35.49,4.02,505.12,Douglas MountainsPort Christopherberg,RI,32811-8325,Standard,23.345,2030.5824
wevans@gmail.com,"222 Jason ParkDominguezshire, NC 98241",Tan,13.38,36.34,4.37,545.95,Jason ParkDominguezshire,NC,98241,Standard,24.86,2385.8015
patrickorr@yahoo.com,"6009 Heather ParkHowardhaven, SD 51705-2993",LawnGreen,11.39,37.91,2.57,434.02,Heather ParkHowardhaven,SD,51705-2993,Standard,24.65,1115.4314
mary84@edwards.com,"19123 Craig Isle Apt. 719Millsmouth, SC 94194",LightSkyBlue,10.77,37.28,3.52,424.68,Millsmouth,SC,94194,Standard,24.025,1494.8736
longwilliam@gmail.com,"16068 Kelly ParksWrightside, NH 21447",BurlyWood,11.82,37.1,1.5,352.55,Kelly ParksWrightside,NH,21447,Standard,24.46,528.825
lisagutierrez@johnson-herring.net,"89300 Amber Centers Apt. 879Victoriaton, VT 98394",Peru,13.81,37.43,5.04,662.96,Victoriaton,VT,98394,Standard,25.62,3341.3184
david81@hotmail.com,"1576 Lane ShoalRogerton, PR 63867-3426",Thistle,11.66,37.28,4.48,560.56,Lane ShoalRogerton,PR,63867-3426,Standard,24.47,2511.3088
jacksonking@mccormick.com,"120 Micheal Fort Apt. 762East Patrickbury, WY 65946",DarkMagenta,13.1,35.91,3.36,467.5,East Patrickbury,WY,65946,Standard,24.505,1570.8
jessica04@christian-riley.com,"338 Graham Loaf Suite 236East Toddton, FM 43566-4238",LemonChiffon,13.07,36.68,1.92,504.87,East Toddton,FM,43566-4238,Standard,24.875,969.3504
simmonsmartin@hardy.com,"2302 Joshua ParkMillerbury, WA 30239-8144",MediumVioletRed,12.49,36.05,4.33,590.56,Joshua ParkMillerbury,WA,30239-8144,Standard,24.27,2557.1248
michellejohnson@sanders-rodriguez.com,"70562 Gonzalez StravenueElizabethland, WI 40700-9149",Teal,11.34,37.04,3.81,443.97,Gonzalez StravenueElizabethland,WI,40700-9149,Standard,24.19,1691.5257
tylerhernandez@barton.info,"7613 Miguel Knoll Suite 762West Katherine, WV 19406",SlateGray,11.2,38.69,3.09,392.5,West Katherine,WV,19406,Standard,24.945,1212.825
connerjoseph@gmail.com,"981 David SquareNew Jacquelinetown, AK 66018-4092",Turquoise,11.33,35.46,4.54,568.72,David SquareNew Jacquelinetown,AK,66018-4092,Standard,23.395,2581.9888
jeffrey54@mcdonald-williams.com,"297 Francis ValleySouth Lindsey, NY 13669-5367",Gainsboro,13.92,37.95,5.07,712.4,Francis ValleySouth Lindsey,NY,13669-5367,Standard,25.935,3611.868
hevans@kelly-nunez.org,Unit 4065 Box 2267DPO AE 69180-7372,Orchid,11.03,38.25,3.11,413.3,Classified,,,Military,24.64,1285.363
lewiskendra@yahoo.com,"988 Matthew PlazaLake Jacobshire, AL 37889",Yellow,11.08,36.78,4.75,562.08,Matthew PlazaLake Jacobshire,AL,37889,Standard,23.93,2669.88
freemantina@cannon.org,"870 Dennis ThroughwayWilsonport, PW 12658",AntiqueWhite,10.54,35.53,3.09,412.01,Dennis ThroughwayWilsonport,PW,12658,Standard,23.035,1273.1109
wagnerbrian@hotmail.com,"50593 Wells Roads Apt. 110South Amy, MI 06969-2026",AliceBlue,11.8,37.78,3.2,468.67,South Amy,MI,06969-2026,Standard,24.79,1499.744
melissa08@nelson.com,"15863 Harrington Glens Suite 012Marystad, LA 50652-8210",Tomato,12.44,38.13,3.85,496.55,Marystad,LA,50652-8210,Standard,25.285,1911.7175
karina59@gmail.com,"9580 Clark Trail Suite 687Williamsside, FM 57367",PapayaWhip,12.1,36.06,3.97,548.52,Williamsside,FM,57367,Standard,24.08,2177.6244
baldwinbryan@estrada-silva.biz,"1470 Kathleen PassSouth Christopherberg, SD 22850",MediumSeaGreen,12.38,38.76,3.84,536.13,Kathleen PassSouth Christopherberg,SD,22850,Standard,25.57,2058.7392
audreyguerrero@carey.com,"1995 Susan Locks Suite 760East Cheryl, AR 37103-5176",BlueViolet,13.72,35.77,2.91,558.43,East Cheryl,AR,37103-5176,Standard,24.745,1625.0313
drew29@hotmail.com,"20888 Erin ViaGrahamville, NH 72913-6101",Tomato,12.73,36.54,1.14,357.86,Erin ViaGrahamville,NH,72913-6101,Standard,24.635,407.9604
michael00@yahoo.com,"03065 Henry Courts Suite 443Derekstad, VT 88473",DarkSlateGray,13.69,34.89,2.69,529.06,Derekstad,VT,88473,Standard,24.29,1423.1714
jgray@khan-allen.com,"1416 Rachel CrescentWest Laurieside, IL 81119-7229",Gold,10.01,38.35,3.11,387.36,Rachel CrescentWest Laurieside,IL,81119-7229,Standard,24.18,1204.6896
bushsusan@hotmail.com,"20618 David SquareGayland, HI 78719-9628",Moccasin,11.44,36.22,4.85,528.93,David SquareGayland,HI,78719-9628,Standard,23.83,2565.3105
charris@gmail.com,"2781 Matthew Wells Apt. 569Potterview, KS 50763-8282",MediumSeaGreen,12.35,37.12,2.31,420.92,Potterview,KS,50763-8282,Standard,24.735,972.3252
longphillip@yahoo.com,"13044 Woods HeightsAndreamouth, ND 52317-6007",LightGreen,10.75,35.74,4.84,496.93,Woods HeightsAndreamouth,ND,52317-6007,Standard,23.245,2405.1412
madisonalexander@gmail.com,"791 Allen Trafficway Suite 776Christopherland, DC 41460",Orange,11.59,37.74,3.68,519.37,Christopherland,DC,41460,Standard,24.665,1911.2816
mfoster@brown-white.com,"36192 Ho SpringNew Michael, RI 65851-6369",Cyan,11.24,37.68,5.25,591.44,Ho SpringNew Michael,RI,65851-6369,Standard,24.46,3105.06
sanchezkara@hotmail.com,"40494 Robert ParkHeatherside, IL 70364",SlateBlue,11.11,38.59,3.89,502.41,Robert ParkHeatherside,IL,70364,Standard,24.85,1954.3749
floresbradley@hotmail.com,"446 Daniel Rest Suite 644Port Matthewhaven, MN 89465",BlanchedAlmond,12.11,36.29,4.39,604.33,Port Matthewhaven,MN,89465,Standard,24.2,2653.0087
lamryan@curtis-garcia.net,"96393 Joshua RapidsJonesview, VA 58733",LavenderBlush,11.87,37.72,4,555.07,Joshua RapidsJonesview,VA,58733,Standard,24.795,2220.28
alexandra26@summers-davis.com,Unit 7032 Box 7016DPO AE 44749-2992,Navy,10.26,36.14,0.79,256.67,Classified,,,Military,23.2,202.7693
ocortez@gmail.com,"4800 Ashley Spur Apt. 347Dannyfort, GA 23352",MediumBlue,12.17,37.07,4.4,547.11,Dannyfort,GA,23352,Standard,24.62,2407.284
melinda39@morton.info,"13693 Cox Falls Apt. 693Padillaview, PW 28998-0386",Moccasin,13.09,37.61,2.65,461.92,Padillaview,PW,28998-0386,Standard,25.35,1224.088
lisa94@jackson.com,"40288 Stephens Corner Apt. 221West Stephanie, OK 55617-4332",CadetBlue,13.01,36.65,2.37,458.38,West Stephanie,OK,55617-4332,Standard,24.83,1086.3606
lucastaylor@yahoo.com,"63872 Chavez LodgeDanielton, NJ 85847",MediumTurquoise,10.98,37.95,3.05,436.28,Chavez LodgeDanielton,NJ,85847,Standard,24.465,1330.654
apark@walsh-obrien.net,"28942 Bradford CrescentNew Morganfurt, MD 77162-0478",DarkGreen,13.11,35.57,3.64,532.94,Bradford CrescentNew Morganfurt,MD,77162-0478,Standard,24.34,1939.9016
dominguezmaria@gmail.com,"1768 Rosales Ford Apt. 793Lake Markbury, SC 31567",RoyalBlue,12.14,37.26,3.4,512.55,Lake Markbury,SC,31567,Standard,24.7,1742.67
jimmy11@hardin.com,"496 Bush Turnpike Apt. 674Donnabury, OR 32596-0079",DarkGoldenRod,13.91,37.79,4.3,630.42,Donnabury,OR,32596-0079,Standard,25.85,2710.806
patriciajackson@jenkins.info,"981 Matthew Valley Apt. 621Lake Tracyburgh, NM 33288-1364",Thistle,11.4,37.33,3.8,463.75,Lake Tracyburgh,NM,33288-1364,Standard,24.365,1762.25
rayvanessa@fischer.com,"2583 Mark SpringsLake Robert, AL 40928",White,13.03,37.08,2.63,493.18,Mark SpringsLake Robert,AL,40928,Standard,25.055,1297.0634
gharrison@davis.com,"04140 Cameron Brooks Apt. 724South Laurenberg, HI 08562",MediumSpringGreen,11.62,35.97,3.63,501.21,South Laurenberg,HI,8562,Standard,23.795,1819.3923
alexandermichael@hotmail.com,"2086 Lisa ViewOrtegabury, MI 43544",WhiteSmoke,12.6,37.37,3.47,501.93,Lisa ViewOrtegabury,MI,43544,Standard,24.985,1741.6971
christopher66@hotmail.com,"388 Kelly PikeWest Jeffery, DE 44039-7785",BurlyWood,13.19,37.07,1.49,376.34,Kelly PikeWest Jeffery,DE,44039-7785,Standard,25.13,560.7466
archeremily@baldwin.com,USCGC HernandezFPO AE 53064,YellowGreen,13.27,36.97,2.27,421.33,Classified,,,Military,25.12,956.4191
hornesteven@gmail.com,"91425 Roy TrailRivaston, NE 34949-2588",White,11.75,38.57,5.02,538.77,Roy TrailRivaston,NE,34949-2588,Standard,25.16,2704.6254
william28@gmail.com,"16763 Melissa Creek Suite 367North Keithland, PW 29458",Cyan,11.57,36.91,2.47,398.16,North Keithland,PW,29458,Standard,24.24,983.4552
karenosborne@yahoo.com,"81814 Pratt Squares Suite 460North Robert, GU 77741-1307",SlateBlue,12.64,36.1,4.3,571.47,North Robert,GU,77741-1307,Standard,24.37,2457.321
chansen@holt.com,"2380 Fisher Neck Suite 233Brianland, AZ 34453-0625",LightSkyBlue,11.39,39.08,2.44,451.63,Brianland,AZ,34453-0625,Standard,25.235,1101.9772
hallthomas@lane.com,"22630 Bell Centers Suite 030North Danielport, FM 31756",DarkTurquoise,11.82,36.95,3.66,490.6,North Danielport,FM,31756,Standard,24.385,1795.596
taylorkimberly@yahoo.com,"0030 Mathis Square Suite 154South Jadehaven, AR 33997-4450",Gainsboro,12.73,35.97,5,591.78,South Jadehaven,AR,33997-4450,Standard,24.35,2958.9
clester@yahoo.com,"76778 Underwood KnollNew Gregory, ID 57323",LightCyan,11.2,37.69,2.41,409.07,Underwood KnollNew Gregory,ID,57323,Standard,24.445,985.8587
pvega@hotmail.com,"61629 Johnson UnderpassNew Eric, MI 92352-5044",LightCoral,11.35,36.32,5.31,563.45,Johnson UnderpassNew Eric,MI,92352-5044,Standard,23.835,2991.9195
vmartin@yahoo.com,"30242 Rubio ForestPort Kyleland, VA 18339-5779",Turquoise,14.22,37.52,4.08,647.62,Rubio ForestPort Kyleland,VA,18339-5779,Standard,25.87,2642.2896
andreperez@hotmail.com,"17463 George PortsEast Julianborough, WY 68291",DarkOliveGreen,11.55,36.95,3.28,448.34,George PortsEast Julianborough,WY,68291,Standard,24.25,1470.5552
anntaylor@hotmail.com,"PSC 1634, Box 8167APO AA 49814",Teal,11.92,36.84,3.63,518.79,Classified,,,Military,24.38,1883.2077
hickmanelizabeth@yahoo.com,"12641 Greer Track Apt. 183North Mitchell, IA 77991-6276",DeepPink,12.28,37.19,3.98,523.63,North Mitchell,IA,77991-6276,Standard,24.735,2084.0474
halljohn@yahoo.com,"311 Savannah Ramp Suite 245Carlsonbury, LA 08453-6035",MediumTurquoise,10.13,34.85,3.29,393.86,Carlsonbury,LA,08453-6035,Standard,22.49,1295.7994
cohensean@yahoo.com,"3751 Green LoafNew Julia, VT 20897",DarkCyan,12.03,36.13,2.31,426.15,Green LoafNew Julia,VT,20897,Standard,24.08,984.4065
jmartinez@anderson.org,"14889 Page PrairieDennisville, NV 27982-4210",PeachPuff,13.17,36.2,3.56,503.39,Page PrairieDennisville,NV,27982-4210,Standard,24.685,1792.0684
cbrady@gonzalez-miller.com,"193 Ashley Plaza Suite 706Hernandezport, WV 71270-7338",Aqua,12.33,36.67,3.35,482.6,Hernandezport,WV,71270-7338,Standard,24.5,1616.71
pkline@hotmail.com,"PSC 6338, Box 7637APO AA 22066",MediumTurquoise,13.89,39.22,2.91,524.8,Classified,,,Military,26.555,1527.168
martha91@garrison.net,"360 Albert SpringSouth Tylerbury, VA 92641-9077",HotPink,12.93,36.36,3.79,574.65,Albert SpringSouth Tylerbury,VA,92641-9077,Standard,24.645,2177.9235
maureenlopez@gmail.com,"82537 Alice CentersGregland, OR 71749",SeaShell,11.38,36.64,4.03,574.75,Alice CentersGregland,OR,71749,Standard,24.01,2316.2425
russellbaldwin@ferrell.info,"295 Michael Keys Apt. 706Ericfurt, KS 09476",Orange,14.07,38.99,4.98,660.43,Ericfurt,KS,9476,Standard,26.53,3288.9414
amandastanley@yahoo.com,"38528 Jerry Valleys Suite 027Jonesstad, NY 74787-2691",CadetBlue,10.8,37.37,2.7,375.4,Jonesstad,NY,74787-2691,Standard,24.085,1013.58
george02@hotmail.com,"3286 Lynch FieldHenrychester, RI 41833-7902",LightCoral,14.43,37.37,3.93,640.19,Lynch FieldHenrychester,RI,41833-7902,Standard,25.9,2515.9467
swilliams@ball-arroyo.com,"450 Samantha ValleysCollinsborough, KS 37205-9891",Orchid,13.04,36.66,3.46,514.01,Samantha ValleysCollinsborough,KS,37205-9891,Standard,24.85,1778.4746
taylorjared@foster.net,"601 Mitchell Estates Suite 922Port Daniel, WV 83595",Crimson,11.74,36.85,2.18,376.5,Port Daniel,WV,83595,Standard,24.295,820.77
keith13@yahoo.com,"81830 Katie SquaresPort Austinland, FL 73522-0761",LightGoldenRodYellow,12.49,38.24,2.71,484.52,Katie SquaresPort Austinland,FL,73522-0761,Standard,25.365,1313.0492
schmidtdenise@hotmail.com,"06392 Matthew Viaduct Suite 000Lake Ronald, NY 45787-0181",DarkGoldenRod,12.89,36.53,4.59,614.73,Lake Ronald,NY,45787-0181,Standard,24.71,2821.6107
jasmin20@salas.com,"634 Nancy Shoals Suite 241South Barry, AR 52307",HotPink,11.67,37.34,4.26,567.48,South Barry,AR,52307,Standard,24.505,2417.4648
christophermorrison@mcguire-carter.biz,"90089 Eric WellNicoleside, MT 95918",Blue,11.78,37.98,3.78,554,Eric WellNicoleside,MT,95918,Standard,24.88,2094.12
deborah51@yahoo.com,"4190 Shelton HarborsNorth Christopher, RI 60962",Violet,12.14,36.85,1.62,399.98,Shelton HarborsNorth Christopher,RI,60962,Standard,24.495,647.9676
melindahartman@gmail.com,"3761 Jared MountainNicholasport, WY 51181",Pink,12.22,36.82,3.41,479.17,Jared MountainNicholasport,WY,51181,Standard,24.52,1633.9697
sharper@yahoo.com,"239 Bush Fall Apt. 906Riveraville, KY 88906-3319",SandyBrown,13.4,37.29,3.61,585.93,Riveraville,KY,88906-3319,Standard,25.345,2115.2073
jessicabrewer@simmons.net,"5052 Mccoy Passage Apt. 328Teresaport, FM 97139",LightBlue,12.96,38.66,3.28,541,Teresaport,FM,97139,Standard,25.81,1774.48
beckycarson@jones-brown.biz,"78787 Mitchell LightsMatthewville, AZ 30310-0130",Gold,12.88,36.23,5.01,628.05,Mitchell LightsMatthewville,AZ,30310-0130,Standard,24.555,3146.5305
jennifer24@hotmail.com,"46954 Melissa CornerNorth Amanda, LA 34844",SteelBlue,13.33,36.77,3.37,582.49,Melissa CornerNorth Amanda,LA,34844,Standard,25.05,1962.9913
jeremy00@yahoo.com,"45442 Barber Key Apt. 882South Jaclyn, NM 24367-3001",FloralWhite,12.16,36.58,5.45,640.79,South Jaclyn,NM,24367-3001,Standard,24.37,3492.3055
wellsjuan@schroeder.com,"0338 Francis JunctionLake Alexstad, NH 14302",Green,11.23,35.67,3.76,446.42,Francis JunctionLake Alexstad,NH,14302,Standard,23.45,1678.5392
gregorystewart@hotmail.com,"232 John Haven Suite 456Johnsonhaven, VT 90106-0173",PaleGoldenRod,12.46,37.75,4.66,570.63,Johnsonhaven,VT,90106-0173,Standard,25.105,2659.1358
tammyjones@griffin.com,"0859 Audrey IsleSouth Zachary, AS 09138",Navy,9.85,36.88,3.81,423.31,Audrey IsleSouth Zachary,AS,9138,Standard,23.365,1612.8111
djohnson@hotmail.com,"5358 Stephen Parkway Suite 894Kimview, MN 17436-4528",Coral,13.33,36.9,5.05,616.66,Kimview,MN,17436-4528,Standard,25.115,3114.133
kenneth27@smith.com,"721 Robert Viaduct Apt. 052Lake Olivia, MO 93807",DarkGreen,13.68,37.74,2.87,530.36,Lake Olivia,MO,93807,Standard,25.71,1522.1332
johnathan33@yahoo.com,"836 Amy VillagesHannahside, RI 09207-2616",LightSteelBlue,11.64,37.03,3.24,442.36,Amy VillagesHannahside,RI,09207-2616,Standard,24.335,1433.2464
carrillojacob@perry-larsen.com,"909 Hicks MountainsGabriellaport, MD 33121",Aquamarine,13.49,37.55,3.09,511.98,Hicks MountainsGabriellaport,MD,33121,Standard,25.52,1582.0182
greenelizabeth@edwards.com,"54051 Jenkins ViewEast Danielshire, IN 32905-7784",DarkViolet,11.62,38.42,4.56,560.44,Jenkins ViewEast Danielshire,IN,32905-7784,Standard,25.02,2555.6064
denisemorrow@johnson-james.net,"24458 Hudson SquareHallside, PA 68038",MediumSpringGreen,13.01,37.79,3.01,475.26,Hudson SquareHallside,PA,68038,Standard,25.4,1430.5326
wandaphillips@leonard.com,"149 Monica Vista Apt. 908Jasonberg, TX 19632-8886",OliveDrab,11.47,35.68,1.81,374.27,Jasonberg,TX,19632-8886,Standard,23.575,677.4287
zachary94@gmail.com,"99902 Scott RoadJoyton, MT 46760-7400",Purple,11.68,38.72,3.59,463.59,Scott RoadJoyton,MT,46760-7400,Standard,25.2,1664.2881
ppowell@gmail.com,"74260 Carly Mews Suite 703Jonesberg, OR 39594",BlueViolet,12.09,36.62,3.05,471.6,Jonesberg,OR,39594,Standard,24.355,1438.38
bhill@pierce-kane.info,"3324 Branch Squares Suite 221Riddleton, OK 34594",RoyalBlue,14.33,35.72,3.63,626.02,Riddleton,OK,34594,Standard,25.025,2272.4526
matthewgraves@mills-shaffer.com,"66636 Jason ParkwayKellyside, NV 67033",DarkSeaGreen,12.91,39.07,1.48,432.47,Jason ParkwayKellyside,NV,67033,Standard,25.99,640.0556
nwagner@yahoo.com,Unit 2079 Box 7792DPO AP 47668,AntiqueWhite,9.82,35.74,2.92,356.62,Classified,,,Military,22.78,1041.3304
jamesfaulkner@hoffman-wolfe.org,Unit 0474 Box 0661DPO AP 48938-3469,Blue,12.81,38.55,1.81,467.43,Classified,,,Military,25.68,846.0483
phillipscarrie@gmail.com,"625 Andrew LocksMadisonside, AZ 74068",FloralWhite,13.06,37.26,3.37,503.22,Andrew LocksMadisonside,AZ,74068,Standard,25.16,1695.8514
samantha84@cortez.com,"960 Miller UnionEast Virginiastad, MS 74191-2346",Navy,10.53,37.03,2.21,378.47,Miller UnionEast Virginiastad,MS,74191-2346,Standard,23.78,836.4187
edward29@knapp.com,"4029 Gerald CapeSouth Laurenborough, SC 19130-5133",DarkOrange,11.14,35.95,5.45,584.22,Gerald CapeSouth Laurenborough,SC,19130-5133,Standard,23.545,3183.999
hannahgilbert@gmail.com,"6961 Mary Stravenue Suite 857Hilltown, TX 52813-7703",Aqua,10.98,34.81,3.2,451.73,Hilltown,TX,52813-7703,Standard,22.895,1445.536
lschroeder@gmail.com,"93101 Shannon CommonSouth Destiny, ND 30379-2855",Ivory,11.15,37.24,4.73,557.63,Shannon CommonSouth Destiny,ND,30379-2855,Standard,24.195,2637.5899
thomaswendy@yahoo.com,"449 Amanda TunnelJoshuahaven, CO 15377",LavenderBlush,11.95,36.19,3.21,432.72,Amanda TunnelJoshuahaven,CO,15377,Standard,24.07,1389.0312
fuenteskathryn@schmidt-johnson.org,"839 Heather CliffSouth Blake, SC 90412",Cyan,11.47,37.06,3.8,506.42,Heather CliffSouth Blake,SC,90412,Standard,24.265,1924.396
melissa08@rowe.net,"13799 Cortez Inlet Suite 733East Stevenshire, AL 32757",Tan,11.04,38.62,4.12,510.16,East Stevenshire,AL,32757,Standard,24.83,2101.8592
bradleysmith@barber.com,"581 Gilmore PortHeatherville, MS 20879",PaleVioletRed,11.17,35.63,5.46,587.57,Gilmore PortHeatherville,MS,20879,Standard,23.4,3208.1322
